nr_2012,latid_noiseUL,longit_noiseUL,latid_noiseUM2,longit_noiseUM2
594,47.90357,35.15257,47.78032,35.18419
595,47.18809,35.32341,47.1541,35.30092
596,47.16831,35.24811,47.1329,35.32076
597,47.21867,35.31081,47.13308,35.3044
598,47.21035,35.32355,47.2548,35.40533
599,47.18811,35.33037,47.10521,35.3119
600,47.19596,35.28328,47.13446,35.3367
601,47.11357,35.32128,47.21255,35.46196
602,47.0605,35.34195,47.08947,35.33792
603,48.49212,34.59666,48.57779,34.628
604,48.52897,34.6034,48.55547,34.60268
605,48.5471,34.62938,48.53127,34.55297
606,48.5489,34.64574,48.57035,34.60753
607,48.49028,34.62262,48.57938,34.5097
608,48.53548,34.59634,48.62429,34.7127
609,48.57027,34.58654,48.56419,34.59275
610,48.51414,34.60831,48.61082,34.5153
611,47.60033,35.76974,47.59037,35.74012
612,47.5873,35.80314,47.63843,35.79653
613,47.55473,35.79785,47.69522,35.75789
614,47.56623,35.73971,47.56339,35.85333
615,47.57147,35.7249,47.54427,35.77258
616,47.53518,35.72105,47.5363,35.78412
617,47.5247,35.77102,47.52316,35.68518
618,47.58643,35.82626,47.55139,35.89117
619,47.55891,35.77999,47.55767,35.79496
620,47.58001,35.74353,47.55051,35.71733
621,47.55212,35.7782,47.53909,35.7321
622,47.50255,35.81194,47.55051,35.77357
623,46.82655,35.42508,46.81139,35.28098
624,46.83473,35.37883,46.89017,35.29708
625,46.88552,35.26133,46.87741,35.40009
626,46.89647,35.33587,46.78922,35.36078
627,46.86441,35.35877,46.84521,35.2743
628,46.83012,35.41112,46.80841,35.3738
629,46.96206,35.3819,46.88708,35.31792
630,46.81912,35.39428,46.86457,35.38683
631,46.88184,35.41366,46.75092,35.35016
632,46.84027,35.34766,46.84023,35.32731
633,46.88477,35.33815,46.95448,35.37426
634,46.89489,35.4109,46.80932,35.43183
635,46.88086,35.39351,46.78347,35.29387
636,46.842,35.29967,46.82101,35.31295
637,49.57514,34.57093,49.62078,34.66288
638,49.60431,34.55332,49.57008,34.60278
639,49.62287,34.57909,49.64032,34.53259
640,49.57339,34.54694,49.61212,34.5288
641,49.61625,34.58998,49.56968,34.49529
642,49.56965,34.53415,49.57751,34.57901
643,49.61142,34.55515,49.55182,34.58779
644,49.54187,34.52277,49.61068,34.49109
645,49.61728,34.51636,49.56564,34.48136
646,49.62004,34.57765,49.5632,34.5502
647,49.69408,34.5803,49.76589,34.50156
648,49.644,34.48952,49.50557,34.51507
649,49.86761,34.73074,49.96387,34.66687
650,49.91218,34.65753,49.89991,34.7149
651,49.8847,34.63227,49.87065,34.69302
652,49.89244,34.71038,49.80652,34.6408
653,49.98677,34.79108,49.8,34.68334
654,49.92366,34.63925,49.91713,34.58623
655,49.90703,34.72628,49.89287,34.69865
