1,0,NaN
2,2,NaN
3,2,NaN
4,2,0
5,0,NaN
6,0,1
7,2,NaN
8,2,NaN
9,0,2
10,0,NaN
11,0,1
12,1,NaN
13,2,1
14,2,NaN
15,2,NaN
16,2,NaN
17,1,2
18,1,2
19,1,2
20,1,NaN
21,2,1
22,1,1
23,2,2
24,2,2
25,2,NaN
26,2,1
27,2,2
28,1,NaN
29,2,2
30,1,2
31,2,NaN
32,0,NaN
33,2,NaN
34,1,2
35,2,NaN
36,1,2
37,1,0
38,2,NaN
39,0,1
40,1,NaN
41,2,2
42,1,NaN
43,2,NaN
44,2,NaN
45,1,1
46,2,NaN
47,1,2
48,2,NaN
49,2,2
50,2,1
51,1,1
52,2,2
53,1,2
54,1,2
55,0,2
56,1,1
57,1,NaN
58,2,2
59,1,2
60,1,2
61,1,1
62,1,2
63,2,2
64,1,2
65,1,2
66,1,2
67,2,2
68,2,2
69,2,2
70,1,2
71,1,2
72,2,2
73,1,2
74,0,2
75,2,2
76,1,2
77,1,2
78,1,NaN
79,1,NaN
80,1,2
81,2,2
82,2,2
83,2,2
84,2,2
85,2,2
86,2,2
87,2,2
88,2,2
89,2,1
90,1,1
91,2,2
92,2,NaN
93,2,2
94,1,2
95,2,2
96,2,NaN
97,2,NaN
98,0,2
99,2,2
100,2,1
101,2,2
102,1,NaN
103,2,2
104,1,NaN
105,2,NaN
106,2,2
107,2,2
108,2,NaN
109,2,2
110,2,NaN
111,2,2
112,2,NaN
113,2,2
114,0,2
115,2,NaN
116,2,2
117,2,2
118,2,2
119,2,2
120,1,1
121,2,2
122,2,2
123,2,2
124,2,NaN
125,2,NaN
126,1,NaN
127,1,2
128,1,NaN
129,2,1
130,2,2
131,1,NaN
132,2,NaN
133,2,NaN
134,2,NaN
135,2,NaN
136,1,2
137,1,NaN
138,2,2
139,1,1
140,1,1
141,1,1
142,2,2
143,2,2
144,2,2
145,2,1
146,2,2
147,2,2
148,2,2
149,2,2
150,2,2
151,2,2
152,2,1
153,2,2
154,1,2
155,2,2
156,2,1
157,2,2
158,1,1
159,2,NaN
160,2,NaN
161,2,0
162,2,1
163,2,2
164,2,2
165,2,2
166,2,2
167,2,2
168,1,2
169,2,NaN
170,2,NaN
171,1,NaN
172,2,NaN
173,1,2
174,2,NaN
175,1,2
176,0,NaN
177,1,NaN
178,1,NaN
179,0,NaN
180,2,NaN
181,0,NaN
201,0,1
202,0,1
203,0,1
204,0,NaN
205,2,1
206,2,NaN
207,2,2
208,0,NaN
209,2,1
210,0,1
211,2,NaN
212,0,1
213,1,NaN
214,0,2
215,1,1
216,2,NaN
217,0,0
218,2,NaN
219,2,2
220,0,2
221,2,0
222,2,1
223,1,2
224,1,0
225,2,NaN
226,2,1
227,0,1
228,0,1
229,2,2
230,2,2
231,1,2
232,0,2
233,1,2
234,2,NaN
235,1,2
236,1,2
237,2,NaN
238,2,2
239,2,2
240,2,2
241,2,2
242,2,2
243,2,2
244,2,NaN
245,2,NaN
246,1,NaN
247,1,2
248,1,2
249,2,2
250,2,2
251,0,2
252,2,NaN
253,2,NaN
254,1,NaN
255,0,NaN
256,0,NaN
257,2,NaN
258,2,NaN
259,2,NaN
260,2,NaN
261,2,NaN
262,0,NaN
263,1,1
264,1,1
265,2,NaN
266,0,0
267,0,2
268,0,NaN
269,2,2
270,0,2
271,2,NaN
273,2,2
274,2,0
275,2,2
276,2,NaN
277,2,NaN
281,1,NaN
282,2,1
283,1,2
284,1,1
285,0,1
286,2,1
287,1,2
